date,BirthsPerWoman,FertilityRateChange%
1900-12-31,3.94,
1901-12-31,,
1902-12-31,,
1903-12-31,,
1904-12-31,,
1905-12-31,3.81,
1906-12-31,,
1907-12-31,,
1908-12-31,,
1909-12-31,,
1910-12-31,3.64,
1911-12-31,,
1912-12-31,,
1913-12-31,,
1914-12-31,,
1915-12-31,3.53,
1916-12-31,,
1917-12-31,,
1918-12-31,,
1919-12-31,,
1920-12-31,3.29,
1921-12-31,,
1922-12-31,,
1923-12-31,,
1924-12-31,,
1925-12-31,3.13,
1926-12-31,,
1927-12-31,,
1928-12-31,,
1929-12-31,,
1930-12-31,2.69,
1931-12-31,,
1932-12-31,,
1933-12-31,,
1934-12-31,,
1935-12-31,2.17,
1936-12-31,,
1937-12-31,,
1938-12-31,,
1939-12-31,,
1940-12-31,2.06,
1941-12-31,,
1942-12-31,,
1943-12-31,,
1944-12-31,,
1945-12-31,2.42,
1946-12-31,,
1947-12-31,,
1948-12-31,,
1949-12-31,,
1950-12-31,3.15,
1951-12-31,3.20,
1952-12-31,3.26,
1953-12-31,3.31,
1954-12-31,3.37,
1955-12-31,3.42,
1956-12-31,3.47,
1957-12-31,3.53,
1958-12-31,3.58,
1959-12-31,3.512,
1960-12-31,3.443,
1961-12-31,3.373,
1962-12-31,3.304,
1963-12-31,3.234,
1964-12-31,3.096,
1965-12-31,2.958,
1966-12-31,2.819,
1967-12-31,2.681,
1968-12-31,2.543,
1969-12-31,2.44,
1970-12-31,2.337,
1971-12-31,2.235,
1972-12-31,2.132,
1973-12-31,2.029,
1974-12-31,1.978,
1975-12-31,1.926,
1976-12-31,1.875,
1977-12-31,1.823,
1978-12-31,1.772,
1979-12-31,1.778,
1980-12-31,1.785,
1981-12-31,1.791,
1982-12-31,1.798,
1983-12-31,1.804,
1984-12-31,1.826,
1985-12-31,1.848,
1986-12-31,1.871,
1987-12-31,1.893,
1988-12-31,1.915,
1989-12-31,1.938,
1990-12-31,1.961,
1991-12-31,1.984,
1992-12-31,2.007,
1993-12-31,2.03,
1994-12-31,2.023,
1995-12-31,2.016,
1996-12-31,2.01,
1997-12-31,2.003,
1998-12-31,1.996,
1999-12-31,2.005,
2000-12-31,2.014,
2001-12-31,2.024,
2002-12-31,2.033,
2003-12-31,2.042,
2004-12-31,2.045,
2005-12-31,2.047,
2006-12-31,2.05,
2007-12-31,2.052,
2008-12-31,2.055,
2009-12-31,2.019,
2010-12-31,1.983,
2011-12-31,1.947,
2012-12-31,1.911,
2013-12-31,1.875,
2014-12-31,1.855,
2015-12-31,1.835,
2016-12-31,1.816,
2017-12-31,1.796,
2018-12-31,1.776,
2019-12-31,1.778,
2020-12-31,1.779,
2021-12-31,1.781,
2022-12-31,1.782,
2023-12-31,1.784,
2024-12-31,1.786,
2025-12-31,1.787,
2026-12-31,1.789,
2027-12-31,1.79,
2028-12-31,1.792,
2029-12-31,1.793,
2030-12-31,1.794,
2031-12-31,1.795,
2032-12-31,1.796,
2033-12-31,1.797,
2034-12-31,1.798,
2035-12-31,1.798,
2036-12-31,1.799,
2037-12-31,1.799,
2038-12-31,1.8,
2039-12-31,1.8,
2040-12-31,1.801,
2041-12-31,1.801,
2042-12-31,1.802,
2043-12-31,1.802,
2044-12-31,1.803,
2045-12-31,1.804,
2046-12-31,1.804,
2047-12-31,1.805,
2048-12-31,1.806,
2049-12-31,1.807,
2050-12-31,1.807,
2051-12-31,1.808,
2052-12-31,1.808,
2053-12-31,1.809,
2054-12-31,1.81,
2055-12-31,1.811,
2056-12-31,1.811,
2057-12-31,1.812,
2058-12-31,1.813,
2059-12-31,1.813,
2060-12-31,1.814,
2061-12-31,1.814,
2062-12-31,1.815,
2063-12-31,1.815,
2064-12-31,1.815,
2065-12-31,1.815,
2066-12-31,1.816,
2067-12-31,1.816,
2068-12-31,1.816,
2069-12-31,1.816,
2070-12-31,1.816,
2071-12-31,1.815,
2072-12-31,1.815,
2073-12-31,1.815,
2074-12-31,1.815,
2075-12-31,1.816,
2076-12-31,1.816,
2077-12-31,1.817,
2078-12-31,1.817,
2079-12-31,1.818,
2080-12-31,1.818,
2081-12-31,1.819,
2082-12-31,1.819,
2083-12-31,1.82,
2084-12-31,1.82,
2085-12-31,1.82,
2086-12-31,1.821,
2087-12-31,1.821,
2088-12-31,1.821,
2089-12-31,1.821,
2090-12-31,1.821,
2091-12-31,1.821,
2092-12-31,1.821,
2093-12-31,1.821,
2094-12-31,1.821,
2095-12-31,1.821,
2096-12-31,1.821,
2097-12-31,1.821,
2098-12-31,1.821,
2099-12-31,1.821,
2100-12-31,1.821,